UNITID,F1A13,F1A18,F1B25,I       
154800,19221036,40752403,61714885,
154907,8222610,13661873,20398716,
154925,10977493,5001905,22173416,
154934,6682735,5000875,13545914,
154952,14581128,27067014,24537558,
154998,6640339,12551637,20269203,
155025,36094613,69205744,85366856,
155052,616206,3157100,6043036,
155061,22919595,95099045,98162287,
155098,5013205,11992911,17088768,
155104,15693533,18849284,21323496,
155140,1,0,21065314,
155186,4372317,13550438,19966890,
155195,28782345,43612433,43604220,
155201,9133510,6394004,13014927,
155210,64170162,213950604,172351476,
155292,16948471,33862799,65073602,
155317,574019429,933777159,1077436688,
155399,321534681,447492782,665345750,
155423,,,7334700,
155450,3009712,11177053,15025328,
155487,1091023,2955822,5213832,
155566,9946191,7109108,20887271,
155593,1156543,6857372,9238729,
155618,504642,12584681,7281083,
155681,49695779,102421790,98235978,
155715,7825176,12521980,15066470,
155830,338175,15152437,4473962,
155858,11525896,36113977,18162543,
156082,38199797,131687814,92681505,
156107,9535029,7551969,21124034,
156125,70839012,190027455,240371886,
156231,,,35071221,
156338,,,20879988,
156392,,,73455101,
156620,105363912,253006090,297519027,
156648,,,52739467,
156790,,,35318982,
156851,,,18508294,
156860,,,24952889,
156921,,,84647262,
157058,17981262,105396228,78900536,
157085,1154663712,2389976953,2312410083,
157289,480004000,772347000,803746000,
157304,,,28878072,
157331,,,31401208,
157386,75099066,168362082,156110088,
157401,77044399,207764186,171577279,
157438,,,33651656,
157447,137908000,274900000,221074000,
157483,,,44064383,
157553,,,33309376,
157711,,,53582737,
157739,,,33701052,
157854,164932392,824670328,101692843,
157951,176928598,352980014,331437665,
158088,7235923,-284243,18464923,
158352,6662534,-1650510,15892739,
158431,14468445,-7659688,39011629,
158662,50783667,31996839,126175917,
158769,3979986,4687281,14936695,
158884,5371793,16024005,11515936,
159009,140039829,72950825,92495691,
159373,131705174,267638230,449537211,
159382,15276877,15489986,30751563,
159391,813153117,671242333,1014677851,
159407,14311383,13776564,23339568,
159416,11037542,27189409,42458442,
159443,12216248,5706987,30287236,
159638,11964485,74668322,21797971,
159647,134519859,161366259,179212625,
159717,59215480,76204580,102249055,
159939,126125712,136646125,202677718,
159966,92340920,52997235,92262094,
159993,124072810,85770860,130916525,
160010,7372188,5652797,20967784,
160038,41287673,70061859,106422754,
160481,3473034,4557194,11215460,
160533,3334896,-1717988,6304761,
160579,5828898,6745742,16953151,
160612,144777979,91195058,170727803,
160621,128570302,106419452,170511696,
160630,54730370,47436132,45163785,
160649,25872612,5281347,28825797,
160658,106761214,274397617,236614729,
160667,4996145,-488648,14503097,
160913,5833002,2461449,14414458,
161077,7415023,16425422,20196369,
161138,7826993,22426539,18140920,
161192,3475344,12249002,13873268,
161217,5694000,38816000,47213000,
161226,15540000,51796000,46119000,
161235,9175000,11112000,14973000,
161244,7004000,10079000,12983000,
161253,123616000,360109000,351010000,
161280,83997000,67147000,35634000,
161299,7174983,46611191,34049356,
161341,3791000,24492000,20276000,
161484,1645954,12534458,14256688,
161545,16636179,32565163,38979991,
161554,103254000,143655000,192831000,
161581,795334,12641618,8620348,
161688,4736505,36604339,37096724,
161767,32989124,82261966,127786559,
161864,11290389,85017783,79836491,
161873,48613079,60426657,102613252,
162007,26470175,110828750,96036460,
162104,5394537,52395116,37086404,
162122,13878303,89771773,71407054,
162168,5731194,51826518,33699135,
162283,36969299,239410207,112991810,
162557,4684217,67878678,58373153,
162584,27554430,74315902,90393048,
162609,3232537,15906391,15895559,
162690,6702095,64570095,43080553,
162706,6962082,93476036,54539375,
162779,26385022,157827395,91838732,
163204,67352167,277588135,325653384,
163259,305415691,743323539,985330661,
163268,135456359,195177473,333068239,
163286,561832792,1492754410,1522797903,
163338,68308149,133972132,99754648,
163426,87734452,377812237,321815798,
163453,104701465,284648655,192927305,
163657,19004773,128287517,122899686,
163851,74030323,228737189,141049934,
163912,50635914,116724458,67091495,
164076,148518382,435611907,372916865,
164146,183333077,156752614,33478966,
164155,,,432629766,
164313,8160436,62306473,38606837,
164535,,,763949,
164775,4429724,9705218,24302375,
165024,67732281,72808406,144787257,
165033,7614731,27846650,59008138,
165112,19898205,32376659,75835222,
165194,6579926,17169356,32495665,
165608,,,577630,
165820,25895542,66941564,79297988,
165866,37652706,63509572,67629029,
165981,4053799,23298571,32620936,
166133,13880897,33889190,57719644,
166513,218475000,182289000,303290000,
166629,762530000,815916000,903493000,
166638,201303000,223634000,325170000,
166647,5960236,14642095,45116823,
166665,131595000,87762000,106367000,
166674,20778464,27163761,52300263,
166692,13131292,42258293,48759828,
166708,547025198,447801504,892796276,
166823,9175185,22274306,63253590,
166887,18222543,32728743,68753249,
166957,9614749,12941741,45274472,
167288,9125890,25346468,40271393,
167312,21082509,41874597,66608666,
167376,8237568,19968389,49626138,
167525,5235645,12290498,20007120,
167534,12924968,33576776,62076070,
167631,5823094,29544943,29441879,
167729,30659560,70236330,121714687,
167871,,,3960975,
167905,17991344,33577042,73188806,
167987,228869000,65119000,220078000,
168263,17973570,55120861,96009918,
168430,26493494,82517422,73231112,
168607,4794165,16107962,19677801,
168883,12616011,24031053,22345731,
169248,259674436,545292205,434311558,
169275,80857231,99929417,116372230,
169521,7512379,141572941,101723386,
169798,335635675,231072256,337164168,
169910,162412476,250831671,239141379,
169974,4903741,11659238,17830466,
169992,5791749,9999972,11733550,
170055,74643484,100087420,150482502,
170082,328331371,538757542,398046223,
170240,58481347,77107773,113164740,
170444,49208941,48424369,59924782,
170541,8322750,122847245,79410715,
170550,15807231,56882353,56084309,
170587,6142555,16189855,21770271,
170620,11599072,49604548,40440866,
170639,33219194,46934537,47918425,
170657,77813280,130448653,144396813,
170790,16322781,314964760,156935340,
170976,4298007000,9016385000,5786349000,
171100,1375797861,2467778487,2006353207,
171128,100967000,200990000,213646000,
171137,31351000,162468000,115335000,
171146,23411000,184135000,106729000,
171155,6328066,41936550,37067225,
171225,3201824,40884482,32800931,
171234,5849848,18844033,20071716,
171304,26830663,27439357,41371224,
171395,3958401,28928612,24075241,
171456,135111461,219277330,159273894,
171483,34215928,56328588,51948829,
171535,30746573,363107032,214599632,
171571,177020829,321080996,262653264,
172051,161542547,201758300,148061135,
172200,16303616,131117535,92463130,
172291,9345619,52135727,41427061,
172307,26367524,40993059,34943146,
172422,,,14044341,
172617,52751068,127096354,126410454,
172635,35739332,222096097,182851968,
172644,697678982,894726532,819727059,
172671,3464581,33506538,17662661,
172699,488712665,328175223,501666725,
172918,12966000,24559000,27998000,
172954,7191000,20833000,21950000,
172963,18313000,48165000,56492000,
173063,9147000,17957000,32057000,
173115,3647000,7138000,10849000,
173124,37026000,58972000,72708000,
173203,14213000,30988000,35571000,
173416,8843000,32107000,33993000,
173461,12857000,31172000,39218000,
173559,17714000,32370000,56005000,
173638,8612000,14894000,30585000,
173708,12588000,29472000,51737000,
173735,8693000,20051000,17759000,
173799,16079000,40442000,41582000,
173805,7158000,8332000,14584000,
173911,9254000,12701000,34742000,
173920,120427000,187101000,205707000,
173993,5341000,8498000,16151000,
174020,29984000,57947000,76225000,
174066,1526128112,2541181654,2852532176,
174075,3335776,41393366,30786000,
174136,38903000,94074000,77502000,
174233,41135447,353849970,248104525,
