UNITID,EFYTOTLT
132523,52
132602,3831
132602,3791
132602,40
132657,2582
132657,1981
132657,601
132666,265
132666,265
132675,346
132675,346
132693,24933
132693,24933
132709,56337
132709,56337
132806,738
132806,738
132842,1334
132842,479
132842,855
132851,11716
132851,11716
132879,307
132879,307
132903,63153
132903,52523
132903,10630
132976,607
132976,607
133021,3078
133021,3078
133085,617
133085,606
133085,11
133155,816
133155,816
133386,24277
133386,24277
133465,1426
133465,1353
133465,73
133492,2858
133492,2858
133508,22708
133508,22708
133526,943
133526,943
133553,5489
133553,4888
133553,601
133650,13642
133650,11307
133650,2335
133669,35521
133669,28634
133669,6887
133702,47474
133702,47474
133711,2941
133711,2941
133809,499
133809,499
133845,980
133845,980
133854,688
133854,688
133863,750
133863,750
133872,3574
133872,3509
133872,65
133881,14041
133881,9347
133881,4694
133942,104
133942,104
133951,51792
133951,41138
133951,10654
133960,2512
133960,2512
133979,2287
133979,2189
133979,98
133997,8814
133997,8814
134024,201
134024,201
134079,2927
134079,2743
134079,184
134097,45160
134097,34215
134097,10945
134112,2761
134112,2761
134121,316
134121,316
134130,58626
134130,37656
134130,20970
134149,3403
134149,2939
134149,464
134228,42
134228,42
134237,15844
134237,13022
134237,2822
134291,1301
134291,1301
134307,1245
134307,1245
134343,10909
134343,10909
134422,117
134422,117
134495,39339
134495,39339
134510,121
134510,121
134529,228
134529,228
134574,231
134574,231
134608,26433
134608,26433
134680,2242
134680,2223
134680,19
134714,492
134714,492
134811,5358
134811,5229
134811,129
134875,1485
134875,1485
134909,1498
134909,1498
134945,4888
134945,4350
134945,538
135063,1055
135063,1055
135081,29222
135081,28504
135081,718
135124,1578
135124,1578
135142,649
135142,649
135160,4586
135160,4586
135179,864
135179,864
135188,6585
135188,6585
135267,1333
135267,1333
135276,1895
135276,1895
135294,1743
135294,1743
135337,391
135337,391
135364,1424
135364,484
135364,940
135391,18306
135391,18306
135407,2029
135407,2029
135416,1163
135416,1163
135434,1086
135434,1086
135522,778
135522,778
135610,423
135610,281
135610,142
135647,2166
135647,2166
135717,95166
135717,95166
135726,17708
135726,11688
135726,6020
135735,3097
135735,3097
135771,1282
135771,1282
135939,572
135939,572
135957,2293
135957,2293
136011,2208
136011,2208
136048,201
136048,201
136066,4207
136066,4207
136075,475
136075,475
136109,248
136109,248
136145,1745
136145,1745
136172,19581
136172,17128
136172,2453
136206,820
136206,820
136215,37197
136215,7235
136215,29962
136233,11530
136233,11530
136251,111
136251,111
136288,3088
136288,2978
136288,110
136303,1269
136303,1269
136330,3599
136330,2673
136330,926
136358,42439
136358,42439
136400,14065
136400,14065
136473,17132
136473,17132
136491,2053
136491,2053
136516,14196
136516,14196
136659,379
136659,379
136701,79
136701,79
136738,1989
136738,1989
136747,2389
136747,2389
136765,1001
136765,1001
136774,1335
136774,1335
136783,92
136783,92
136826,1981
136826,1981
136950,3711
136950,2830
136950,881
137023,1298
137023,1298
137032,22295
137032,18667
137032,3628
137078,40856
137078,40856
137087,2110
137087,2110
137096,21030
137096,21030
137120,1110
137120,1110
137148,2691
137148,149
137148,2542
137209,24665
137209,24665
137245,2978
137245,2978
137272,78
137272,62
137272,16
137281,9211
137281,9211
137315,4328
137315,4328
137351,47737
137351,35498
137351,12239
137476,4427
137476,2661
137476,1766
137537,394
137537,394
137546,4136
137546,2231
137546,1905
137564,3322
137564,2919
137564,403
137591,467
137591,467
137713,273
137713,273
137759,20708
137759,20708
137777,55
137777,33
137777,22
137801,3408
137801,3359
137801,49
137810,2037
137810,1994
137810,43
137847,7188
137847,6163
137847,1025
137856,430
137856,430
137865,784
137865,784
137892,1428
137892,1428
137953,295
137953,272
137953,23
137962,231
137962,231
138132,138
138132,138
138187,55545
138187,55545
138275,1288
138275,1128
138275,160
138284,1393
138284,1393
138293,865
138293,778
138293,87
138309,7307
138309,7307
138354,14100
138354,11433
138354,2667
138372,1423
138372,1423
138479,2048
138479,2048
138488,1025
138488,1025
138497,553
138497,553
138558,4102
138558,4102
138594,3317
138594,3317
138600,978
138600,932
138600,46
138655,413
138655,413
138664,73
138664,73
138682,6442
138682,6442
138691,8402
138691,8402
138716,5190
138716,4587
138716,603
138761,388
138761,388
138789,8930
138789,7382
138789,1548
138813,5677
138813,5677
138822,1524
138822,1524
138840,7966
138840,7966
138868,1121
138868,1121
138901,4021
138901,4021
138929,558
138929,558
138938,373
138938,373
138947,4293
138947,3533
138947,760
138956,7679
138956,7679
138983,8810
138983,7119
138983,1691
139010,5223
139010,5223
139074,1846
139074,1846
139092,145
139092,145
139144,2068
139144,1839
139144,229
139153,1011
139153,792
139153,219
139199,3507
139199,2299
139199,1208
139205,1485
139205,1485
139214,370
139214,370
139250,4255
139250,4255
139278,11884
139278,11884
139287,309
139287,309
139311,8599
139311,8345
139311,254
139348,421
139348,421
139357,6787
139357,6787
139366,10252
139366,8606
139366,1646
139384,9794
139384,9794
139393,1523
139393,1460
139393,63
139463,7154
139463,7154
139506,326
139506,326
139533,10049
139533,7426
139533,2623
139579,27873
139579,25245
139579,2628
139621,3716
139621,3716
139630,786
139630,786
139658,14164
139658,7412
139658,6752
139700,7135
139700,7135
139719,4241
139719,4010
139719,231
139746,84
139746,84
139755,22395
139755,14790
139755,7605
139764,3677
139764,3201
139764,476
139773,11438
139773,11438
139861,7768
139861,6314
139861,1454
139904,1886
139904,1886
139931,22306
139931,18900
139931,3406
139940,36939
139940,26931
139940,10008
139959,39168
139959,29082
139959,10086
139968,5798
139968,5798
139986,10161
139986,10161
139995,257
139995,257
140003,777
140003,777
140012,10683
140012,10683
140076,2973
140076,2973
140085,7180
140085,7180
140146,461
140146,461
140164,27463
140164,24557
140164,2906
140234,1222
140234,955
140234,267
140243,6850
140243,6850
140252,2708
140252,793
140252,1915
140304,11648
140304,11648
140322,8897
140322,8897
140331,19581
140331,19581
140340,959
140340,959
140401,2720
140401,625
140401,2095
140447,9366
140447,5169
140447,4197
140483,4696
140483,4696
140553,2840
140553,2840
140562,330
140562,330
140599,4088
140599,4088
140669,6680
140669,5831
140669,849
140678,4444
140678,4444
140696,1296
140696,1202
140696,94
140711,102
140711,102
140720,1148
140720,1148
140818,3205
140818,1385
140818,1820
140827,158
140827,158
140872,2624
140872,2480
140872,144
140942,9637
140942,9637
140951,10945
140951,8752
140951,2193
140960,4412
140960,4250
140960,162
140988,1463
140988,1463
140997,2629
140997,2629
141006,4302
141006,4302
141015,368
141015,368
141060,2279
141060,2279
141097,6299
141097,5388
141097,911
141158,2737
141158,2737
141167,1285
141167,1049
141167,236
141185,880
141185,880
141237,578
141237,578
141255,9148
141255,9148
141264,14481
141264,11621
141264,2860
141307,1709
141307,1709
141325,840
141325,733
141325,107
141334,13713
141334,11133
141334,2580
141361,764
141361,764
141468,2559
141468,2559
141486,3818
141486,2791
141486,1027
141565,4847
141565,4197
141565,650
141574,24967
141574,17046
141574,7921
141608,155
141608,155
141644,10184
141644,8655
141644,1529
141680,6607
141680,6607
141796,13292
141796,13292
141802,1758
141802,1758
141811,10502
141811,10502
141839,5649
141839,5649
141848,238
141848,238
141936,50
141936,50
141945,246
141945,246
141981,1652
141981,1652
141990,3355
141990,3355
142054,1308
142054,1308
142090,187
142090,187
142115,27462
142115,21336
142115,6126
142179,1607
142179,1607
142276,19929
142276,16333
142276,3596
142285,16537
142285,11298
142285,5239
142294,1067
142294,1048
142294,19
142328,5336
142328,5336
142337,1050
142337,1050
142407,72
142407,72
142416,43
142416,43
142443,7611
142443,7611
142461,2386
142461,1578
142461,808
142489,116
142489,116
142522,21026
142522,21026
142559,13183
142559,13183
142832,729
142832,729
142869,62
142869,62
142878,37
142878,37
142887,448
142887,448
143048,3314
143048,2562
143048,752
143075,622
143075,622
143084,2474
143084,2474
143118,8925
143118,2743
143118,6182
143181,72
143181,72
143215,26077
143215,26077
143233,69
143233,69
143279,13397
143279,13397
143288,625
143288,625
143297,234
143297,224
143297,10
143303,20
143303,20
143358,6240
143358,5285
143358,955
143376,259
143376,259
143464,197
143464,197
143473,90
143473,90
143482,140
143482,140
143491,185
143491,185
143516,129
143516,129
143534,164
143534,164
143543,204
143543,204
143552,192
143552,192
143613,4757
143613,4757
143659,533
143659,533
143695,61
143695,61
143853,2215
