UNITID,F1A13,F1A18,F1B25
183859,60445917,131594119,119062970
183877,18774094,110905097,68807007
183938,37924132,87299036,106833936
183983,,,888167
184180,10467143,81607554,72449270
184205,5342000,53633182,34128081
184481,18919842,131518457,121179066
184782,550009387,181397981,251299165
184791,13286518,44534428,45768542
184995,9499196,109996184,78626022
185129,167222076,96975120,141339023
185262,383097265,179083581,236339122
185509,12439125,56668746,71634060
185536,21248910,93844148,115589453
185590,418550000,320441000,331999000
185828,216574000,211204000,271678000
185873,26723111,80040510,80592357
186034,9511650,59374691,63880028
186201,261734000,103257000,143567000
186380,1454490000,2636769000,2012609000
186469,1073403,16444072,14870170
186645,9257633,63989781,52436547
186876,287353517,161425983,160896269
187046,14898453,47067820,53217144
187134,418477000,341041000,199660000
187198,27619210,97200500,85721983
187222,1042629000,483483000,1797561000
187444,204873803,274548328,213072021
187532,60180170,232795805,176098151
187596,4345776,22095732,19325466
187620,2126585,51490125,69402835
187639,3023893,29290462,25258838
187648,25569856,101301544,78468205
187666,7800946,51384958,34443839
187745,10536172,52214511,17077861
187897,42079233,72663504,74222457
187903,6412805,76715170,34526235
187912,5932040,459964496,52583926
187958,,,25746485
187967,30805311,235898211,166269077
187976,,,5474539
187985,911135509,1542653939,1819196296
187994,710304,18719980,18251444
188003,1162328,12334250,17064407
188021,198837,6640402,9368660
188030,233318315,469479852,503207883
188049,,,19069815
188058,3011764,29093224,33154943
188100,32109565,73907330,75035460
188137,44073571,77176059,57410489
188216,,,13639215
188225,,,12263241
188261,415026,22599222,13028139
188304,8870608,43270967,39046602
188438,26558486,19427494,32245344
189547,40961134,10690926,53935212
